Model,Representation,Feature,Training_Pop,Evaluation_Pop,PR_AUC,F1,Precision,Recall,Balanced_Accuracy,ROC_AUC,LOPO_result,Statistical_evidence,Comparability
Logistic Regression,Point Spectral + Dynamic World (tabular),8.1/8.1.2,F8.2.2 spatial-split train (N~65k),"F8.4 common spatial test (N=8,121)",0.1563,0.0047,0.375,0.0024,0.5008,0.5148,XGBoost 0.091/0.141/0.115 across 3 projects (F8.6),F1=0.0000 on common population (not useful),DIRECT (F8.4 common population)
Random Forest,Point Spectral + Dynamic World (tabular),8.1/8.1.2,F8.2.2 spatial-split train,"F8.4 common spatial test (N=8,121)",0.1641,0.0047,0.375,0.0024,0.5008,0.5163,Not evaluated in LOPO experiment,F1=0.0000 on common population,DIRECT (F8.4 common population)
XGBoost (Tabular),Point Spectral + Dynamic World (tabular),8.1/8.1.2,F8.2.2 spatial-split train,"F8.4 common spatial test (N=8,121)",0.1565,0.0047,0.375,0.0024,0.5008,0.5008,"MH-001=0.091, MH-002=0.141, MH-003=0.115 (F8.6 baseline)",F8.4.1 bootstrap validated; F8.7-C beaten by Delta CNN 3/3,DIRECT (F8.4 common population)
Compact Spatial CNN,15x15x6 spatial patch (2025 non-monsoon),8.3,F8.2.2 CNN spatial-split train,"F8.4 common spatial test (N=8,121)",0.1977,0.2834,0.174,0.7624,0.5467,0.5872,"MH-001=0.212, MH-002=0.338, MH-003=0.147 (F8.6)",F8.4.1 bootstrap: CNN>XGBoost CI excludes zero,DIRECT (F8.4 common population)
Raw Temporal CNN,"5x15x15x6 temporal patch (absolute, 2021-2025)",8.7-B,"F8.7-A temporal train (N=8,534, complete 5-yr sequences)","F8.7 standard temporal test (N=1,226, complete 5-yr only)",0.1453,0.0892,0.1111,0.0745,0.4833,0.489,Not evaluated in F8.7-C LOPO,F8.7.1 bootstrap: Raw CNN < Spatial Control -- WEAK,CONDITIONAL (different population from F8.3/F8.4)
Spatial-Only Control (2025),1x15x15x6 spatial patch (2025 only),8.7-B,F8.7-A temporal train,"F8.7 standard temporal test (N=1,226)",0.2429,0.2728,0.1589,0.9628,0.5199,0.6174,Not evaluated separately; F8.7-C uses Delta CNN only,F8.7.1: Control < Delta CNN (bootstrap CI excludes zero),CONDITIONAL (different population from F8.3/F8.4)
Delta Temporal CNN,4x15x15x6 inter-annual delta patch (2021-2025),8.7-B / 8.7-C,"F8.7-A temporal train (N=8,534); LOPO: train minus held-out project","F8.7 standard temporal test (N=1,226); LOPO: full held-out project",0.3791,0.3232,0.2052,0.7606,0.6135,0.7258,"MH-001=0.262, MH-002=0.265, MH-003=0.407 -- beats XGBoost 3/3 (F8.7-C)","F8.7.1 bootstrap CI [0.0185,0.2798] excludes zero vs Spatial Control",CONDITIONAL (F8.7 population; LOPO vs F8.6 spatial CNN is CONDITIONAL)
