project_id,project_name,test_samples,test_positives,positive_prevalence,pr_auc,f1,precision,recall,balanced_accuracy,notes
MH-001,Gondkhari,4364,953,0.218378,0.3285,0.3951,0.2670,0.7597,0.5884,Calculated
MH-002,Gadchiroli,3192,314,0.098371,0.0895,0.1737,0.0979,0.7707,0.4979,Calculated
MH-003,Bhivpuri PSP,565,0,0.000000,PR-AUC is undefined/not estimable for this project because there are zero positive ground-truth samples.,0.0000,0.0000,0.0000,1.0000,Zero Positive Test Samples
