epoch,train_loss,train_pr_auc,val_loss,val_pr_auc,val_roc_auc,learning_rate
1,1.0172353634420646,0.36463213833433517,1.1510478949258696,0.24158812374854594,0.6204337538731112,0.001
2,0.9200718697607906,0.4417819623603997,1.8917857624072683,0.09020654811970753,0.4392779641831674,0.001
3,0.831111389691732,0.49909822184235436,1.8260182924411088,0.15264733234958616,0.5193886435493255,0.001
4,0.7483183897044321,0.561045817974209,1.9568936711711826,0.09596720312899015,0.4578906273921431,0.001
5,0.6909541643108883,0.6003991472223504,2.3931444720739323,0.08787251558678363,0.42083074467444137,0.0005
6,0.5858763653983886,0.6596732787410213,3.2736603747681907,0.08592829282473953,0.4217636495991324,0.0005
7,0.525692126746289,0.6883841573988732,2.9934568878747183,0.08487696074097706,0.42698796656358123,0.0005
