Metric,Mean,CI_Lower,CI_Upper,Excludes_Zero
Delta PR-AUC – Control PR-AUC,0.12545740270929517,0.018470462894822744,0.2798345194991647,True
Delta F1 – Control F1,0.058634423741189066,-0.006538255160660384,0.1772595795091896,False
Delta BalAcc – Control BalAcc,0.09936026046005285,-0.006423493508731048,0.23240393010180604,False
