Project,Model,N,Positives,Prevalence,PR_AUC,F1,Precision,Recall,Balanced_Accuracy
MH-001,Raw Temporal,547,128,0.234,0.23001228867728568,0.12745098039215685,0.17105263157894737,0.1015625,0.47560225238663484
MH-001,Delta Temporal,547,128,0.234,0.5105981127498955,0.49612403100775193,0.37065637065637064,0.75,0.6804892601431981
MH-001,Spatial Control,547,128,0.234,0.3699289502871296,0.3796711509715994,0.23475046210720887,0.9921875,0.5020603371121718
MH-002,Raw Temporal,594,60,0.101,0.077944287424283,0.019417475728155338,0.023255813953488372,0.016666666666666666,0.46900749063670416
MH-002,Delta Temporal,594,60,0.101,0.11544516049910902,0.1891348088531187,0.10755148741418764,0.7833333333333333,0.526498127340824
MH-002,Spatial Control,594,60,0.101,0.08027748351214717,0.18848167539267016,0.10526315789473684,0.9,0.5202247191011236
MH-003,Raw Temporal,85,0,0.0,,0.0,0.0,0.0,0.9176470588235294
MH-003,Delta Temporal,85,0,0.0,,0.0,0.0,0.0,0.9882352941176471
MH-003,Spatial Control,85,0,0.0,,0.0,0.0,0.0,0.0
