model_name,point_estimate_val_pr_auc,bootstrap_mean,ci_95_low,ci_95_high,signal_above_majority_ci
Logistic Regression,0.112031,0.114367,0.089785,0.141127,OVERLAPPING_CI
Naive Majority Baseline,0.090948,0.090695,0.078607,0.103114,BASELINE
