model_name,split,pr_auc,f1,macro_f1,balanced_accuracy,precision,recall,roc_auc,tn,fp,fn,tp
Naive Majority Baseline,validation,0.09094790777113577,0.0,0.47617982554238425,0.5,0.0,0.0,0.5,8516,0,852,0
Naive Majority Baseline,test,0.06487025948103792,0.0,0.48323878287777206,0.5,0.0,0.0,0.5,5622,0,390,0
Logistic Regression,validation,0.11203071856830946,0.14447058823529413,0.44673481089246414,0.4986824028561536,0.09034726309593878,0.36032863849765256,0.5064201161249633,5425,3091,545,307
Logistic Regression,test,0.06582541118370416,0.12209106239460371,0.4173762520274156,0.5191377281558711,0.07029126213592234,0.4641025641025641,0.5484798730262979,3228,2394,209,181
Random Forest,validation,0.10896895692774006,0.01088139281828074,0.47993135140156334,0.49929406563067147,0.07462686567164178,0.005868544600938967,0.5515428566388152,8454,62,847,5
Random Forest,test,0.0630593991824996,0.0,0.48132171512380295,0.4961757381714692,0.0,0.0,0.5007124027401509,5579,43,390,0
XGBoost,validation,0.10338436339467438,0.15475189234650968,0.5159381175878532,0.5291883601593907,0.12057667103538663,0.215962441314554,0.5128812348807106,7174,1342,668,184
XGBoost,test,0.07302437193694547,0.10093167701863354,0.4965351380622228,0.5092493774457488,0.07238307349665925,0.16666666666666666,0.5673254795720111,4789,833,325,65
