hotspot_id,project_id,number_of_patches,mean_probability,max_probability,min_probability,centroid_latitude,centroid_longitude,candidate_priority_score
MH-003-HS-0034,MH-003,12,0.1341,0.1732,0.1006,18.939091,73.449267,0.4441
MH-003-HS-0043,MH-003,11,0.1247,0.1538,0.1029,18.938548,73.462325,0.3821
MH-003-HS-0053,MH-003,8,0.1316,0.1515,0.1143,18.912625,73.502829,0.333
MH-003-HS-0024,MH-003,11,0.1144,0.1287,0.1038,18.940851,73.4513,0.3197
MH-003-HS-0040,MH-003,6,0.1275,0.1637,0.1052,18.938912,73.465077,0.3186
MH-003-HS-0049,MH-003,4,0.1669,0.189,0.136,18.91441,73.49845,0.3042
MH-003-HS-0003,MH-003,5,0.1339,0.1697,0.1086,18.945874,73.447489,0.3041
MH-003-HS-0045,MH-003,8,0.1115,0.1317,0.101,18.938193,73.446303,0.2894
MH-003-HS-0041,MH-003,4,0.1342,0.1697,0.1026,18.938799,73.451019,0.2731
MH-003-HS-0044,MH-003,4,0.1196,0.1363,0.1026,18.938597,73.467188,0.2194
MH-003-HS-0055,MH-003,4,0.1199,0.1331,0.1046,18.911446,73.503098,0.2142
MH-003-HS-0052,MH-003,2,0.1721,0.1865,0.1577,18.913399,73.497237,0.2048
MH-003-HS-0007,MH-003,4,0.1176,0.1248,0.1073,18.944998,73.446909,0.2009
MH-003-HS-0017,MH-003,4,0.1105,0.1177,0.1038,18.94237,73.450345,0.1895
MH-003-HS-0004,MH-003,2,0.1464,0.1529,0.1399,18.946008,73.463011,0.168
MH-003-HS-0012,MH-003,3,0.1147,0.1212,0.1097,18.942909,73.447111,0.168
MH-003-HS-0016,MH-003,3,0.1141,0.1193,0.1099,18.94264,73.449267,0.1654
MH-003-HS-0050,MH-003,2,0.1378,0.1496,0.126,18.914343,73.497372,0.1644
MH-003-HS-0018,MH-003,3,0.111,0.1183,0.1009,18.942191,73.451602,0.1639
MH-003-HS-0025,MH-003,3,0.1067,0.1118,0.1024,18.940843,73.448189,0.155
MH-003-HS-0027,MH-003,2,0.1257,0.1394,0.112,18.940618,73.46382,0.1531
MH-003-HS-0006,MH-003,2,0.1276,0.1384,0.1169,18.9452,73.462742,0.152
MH-003-HS-0038,MH-003,2,0.1351,0.1376,0.1327,18.939001,73.44792,0.1512
MH-003-HS-0028,MH-003,2,0.1276,0.1299,0.1253,18.940484,73.448863,0.1428
MH-003-HS-0010,MH-003,2,0.1221,0.1272,0.117,18.944392,73.44509,0.1398
MH-003-HS-0011,MH-003,2,0.123,0.1265,0.1195,18.943583,73.46355,0.139
MH-003-HS-0013,MH-003,2,0.1156,0.121,0.1103,18.942909,73.451558,0.1329
MH-003-HS-0051,MH-003,2,0.1168,0.1189,0.1147,18.914208,73.499662,0.1306
MH-003-HS-0020,MH-003,2,0.11,0.1113,0.1086,18.941696,73.448459,0.1223
MH-003-HS-0033,MH-003,2,0.1072,0.1111,0.1033,18.939675,73.465571,0.122
MH-003-HS-0037,MH-003,2,0.1057,0.1103,0.1011,18.939271,73.466784,0.1212
MH-003-HS-0039,MH-003,2,0.1091,0.1095,0.1086,18.939001,73.464089,0.1203
MH-003-HS-0022,MH-003,2,0.1085,0.1091,0.1079,18.941562,73.445359,0.1199
MH-003-HS-0047,MH-003,2,0.1026,0.1027,0.1025,18.937789,73.45048,0.1128
MH-003-HS-0054,MH-003,1,0.1447,0.1447,0.1447,18.912726,73.50074,0.1003
MH-003-HS-0030,MH-003,1,0.1409,0.1409,0.1409,18.940214,73.466515,0.0977
MH-003-HS-0008,MH-003,1,0.1327,0.1327,0.1327,18.944796,73.444416,0.092
MH-003-HS-0031,MH-003,1,0.1266,0.1266,0.1266,18.939945,73.448189,0.0878
MH-003-HS-0042,MH-003,1,0.1253,0.1253,0.1253,18.938597,73.451962,0.0869
MH-003-HS-0014,MH-003,1,0.1231,0.1231,0.1231,18.94264,73.444416,0.0853
MH-003-HS-0046,MH-003,1,0.1172,0.1172,0.1172,18.938328,73.455196,0.0813
MH-003-HS-0015,MH-003,1,0.1146,0.1146,0.1146,18.94264,73.445494,0.0795
MH-003-HS-0023,MH-003,1,0.1133,0.1133,0.1133,18.941562,73.449536,0.0785
MH-003-HS-0000,MH-003,1,0.1108,0.1108,0.1108,18.947491,73.46355,0.0768
MH-003-HS-0026,MH-003,1,0.1107,0.1107,0.1107,18.940753,73.449806,0.0767
MH-003-HS-0001,MH-003,1,0.1089,0.1089,0.1089,18.946413,73.448189,0.0755
MH-003-HS-0009,MH-003,1,0.1077,0.1077,0.1077,18.944796,73.446033,0.0746
MH-003-HS-0036,MH-003,1,0.1033,0.1033,0.1033,18.939406,73.457352,0.0716
MH-003-HS-0021,MH-003,1,0.1031,0.1031,0.1031,18.941831,73.450075,0.0715
