hotspot_id,project_id,centroid_lat,centroid_lon,patch_count,mean_cnn_score,max_cnn_score,cnn_score_percentile,ndvi_change,ndvi_evidence,dynamic_world_evidence,temporal_evidence,spatial_evidence,feature10_evidence_class,priority_level,priority_score,evidence_summary,recommended_action
MH-003-HS-0019,MH-003,18.940412,73.446833,30,0.1276,0.1625,41.11,-0.249,30,30,Assessed via F10 NDVI change,30,STRONG_SUPPORT,HIGH PRIORITY,83.2,CNN max 0.16 (41.1th pct) over 30 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.25).,Prioritize independent field/regulatory verification
MH-001-HS-0059,MH-001,21.140382,78.931726,37,0.214,0.4306,97.15,-0.0081,10,30,Assessed via F10 NDVI change,37,STRONG_SUPPORT,HIGH PRIORITY,68.6,CNN max 0.43 (97.2th pct) over 37 patches. Vegetation-to-bare/built transition detected. Minor NDVI decline (-0.01).,Prioritize independent field/regulatory verification
MH-003-HS-0025,MH-003,18.940843,73.448189,3,0.1067,0.1118,11.04,-0.2979,30,30,Assessed via F10 NDVI change,3,STRONG_SUPPORT,HIGH PRIORITY,68.2,CNN max 0.11 (11.0th pct) over 3 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.30).,Prioritize independent field/regulatory verification
MH-003-HS-0038,MH-003,18.939001,73.44792,2,0.1351,0.1376,22.89,-0.3946,30,30,Assessed via F10 NDVI change,2,STRONG_SUPPORT,HIGH PRIORITY,66.8,CNN max 0.14 (22.9th pct) over 2 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.39).,Prioritize independent field/regulatory verification
MH-003-HS-0020,MH-003,18.941696,73.448459,2,0.11,0.1113,10.84,-0.1804,30,30,Assessed via F10 NDVI change,2,STRONG_SUPPORT,HIGH PRIORITY,66.2,CNN max 0.11 (10.8th pct) over 2 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.18).,Prioritize independent field/regulatory verification
MH-003-HS-0022,MH-003,18.941562,73.445359,2,0.1085,0.1091,10.01,-0.2688,30,30,Assessed via F10 NDVI change,2,STRONG_SUPPORT,HIGH PRIORITY,66.2,CNN max 0.11 (10.0th pct) over 2 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.27).,Prioritize independent field/regulatory verification
MH-002-HS-0012,MH-002,19.603171,80.356413,1,0.1443,0.1443,27.57,-0.1896,30,30,Assessed via F10 NDVI change,1,STRONG_SUPPORT,HIGH PRIORITY,64.9,CNN max 0.14 (27.6th pct) over 1 patches. Vegetation-to-bare/built transition detected. Strong NDVI decline (-0.19).,Prioritize independent field/regulatory verification
MH-002-HS-0002,MH-002,19.598119,80.345644,4558,0.2035,0.625,99.99,0.018,0,30,Assessed via F10 NDVI change,4558,STRONG_SUPPORT,HIGH PRIORITY,62.5,CNN max 0.62 (100.0th pct) over 4558 patches. Vegetation-to-bare/built transition detected. No NDVI decline.,Prioritize independent field/regulatory verification
MH-001-HS-0061,MH-001,21.138469,78.924706,154,0.2328,0.4636,98.35,0.022,0,30,Assessed via F10 NDVI change,154,STRONG_SUPPORT,MEDIUM PRIORITY,59.3,CNN max 0.46 (98.4th pct) over 154 patches. Vegetation-to-bare/built transition detected. No NDVI decline.,Review satellite evidence and historical imagery
MH-001-HS-0064,MH-001,21.137694,78.930766,26,0.2236,0.3172,90.58,0.0676,0,30,Assessed via F10 NDVI change,26,STRONG_SUPPORT,MEDIUM PRIORITY,56.3,CNN max 0.32 (90.6th pct) over 26 patches. Vegetation-to-bare/built transition detected. No NDVI decline.,Review satellite evidence and historical imagery
