hotspot_id,project_id,centroid_lat,centroid_lon,patch_count,mean_cnn_score,max_cnn_score,cnn_score_percentile,ndvi_change,ndvi_evidence,dynamic_world_evidence,temporal_evidence,spatial_evidence,feature10_evidence_class,priority_level,priority_score,evidence_summary,recommended_action
MH-003-HS-0010,MH-003,18.944392,73.44509,2,0.1221,0.1272,17.35,-0.0782,20,0,Assessed via F10 NDVI change,2,MODERATE_SUPPORT,LOW PRIORITY,26.5,CNN max 0.13 (17.4th pct) over 2 patches. No suspicious DW transition. Moderate NDVI decline (-0.08).,Monitor / retain for future analysis
MH-002-HS-0022,MH-002,19.587469,80.33701,19,0.1897,0.307,89.48,0.0307,0,0,Assessed via F10 NDVI change,19,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,26.1,CNN max 0.31 (89.5th pct) over 19 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0011,MH-001,21.164506,78.917198,106,0.1829,0.3034,88.96,0.0209,0,0,Assessed via F10 NDVI change,106,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,26.1,CNN max 0.30 (89.0th pct) over 106 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0031,MH-001,21.150134,78.937899,113,0.1757,0.2972,88.21,0.0238,0,0,Assessed via F10 NDVI change,113,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,25.9,CNN max 0.30 (88.2th pct) over 113 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0021,MH-001,21.163483,78.932196,13,0.2034,0.2722,85.22,0.0175,0,0,Assessed via F10 NDVI change,13,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,25.4,CNN max 0.27 (85.2th pct) over 13 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0017,MH-001,21.163503,78.930517,26,0.1867,0.2566,82.97,0.0034,0,0,Assessed via F10 NDVI change,26,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,25.1,CNN max 0.26 (83.0th pct) over 26 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0014,MH-001,21.164394,78.92534,33,0.1871,0.2563,82.85,0.0484,0,0,Assessed via F10 NDVI change,33,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,25.1,CNN max 0.26 (82.8th pct) over 33 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0043,MH-001,21.147668,78.931466,69,0.1668,0.2523,82.09,0.0317,0,0,Assessed via F10 NDVI change,69,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,25.0,CNN max 0.25 (82.1th pct) over 69 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0011,MH-002,19.603818,80.378269,10,0.1922,0.239,79.27,0.0875,0,0,Assessed via F10 NDVI change,10,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.8,CNN max 0.24 (79.3th pct) over 10 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0072,MH-001,21.134978,78.931455,23,0.1935,0.2238,75.29,0.0236,0,0,Assessed via F10 NDVI change,23,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.5,CNN max 0.22 (75.3th pct) over 23 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
