threshold,precision,recall,F1
0.05,0.14925373134328357,0.7446808510638298,0.24866785079928952
0.1,0.14746543778801843,0.5106382978723404,0.22884386174016685
0.15,0.16244725738396623,0.4095744680851064,0.2326283987915408
0.2,0.16285714285714287,0.30319148936170215,0.21189591078066913
0.25,0.14960629921259844,0.20212765957446807,0.17194570135746606
0.3,0.12169312169312169,0.12234042553191489,0.1220159151193634
0.4,0.09302325581395349,0.0425531914893617,0.058394160583941604
0.5,0.058823529411764705,0.010638297872340425,0.018018018018018018
