project_id,project_name,from_year,to_year,index,valid_pixels,mean_change,median_change,std_change,p10,p25,p75,p90,min_change,max_change,valid_area_ha,source_raster,processing_status
MH-002,Gadchiroli,2023,2024,NDVI,10417,-0.0259,-0.0261,0.0381,-0.0701,-0.0476,-0.0054,0.0161,-0.3046,0.1558,937.530,data/processed/change/temporal/MH-002/delta_2023_2024_ndvi.tif,completed_historical_baseline
MH-002,Gadchiroli,2023,2024,NDWI,10417,0.0071,0.0071,0.0253,-0.0188,-0.0059,0.0204,0.0330,-0.1139,0.3122,937.530,data/processed/change/temporal/MH-002/delta_2023_2024_ndwi.tif,completed_historical_baseline
MH-002,Gadchiroli,2023,2024,NDBI,10417,0.0192,0.0212,0.0391,-0.0252,-0.0012,0.0441,0.0647,-0.1662,0.1720,937.530,data/processed/change/temporal/MH-002/delta_2023_2024_ndbi.tif,completed_historical_baseline
MH-002,Gadchiroli,2024,2025,NDVI,10417,0.0273,0.0309,0.0395,-0.0225,0.0054,0.0528,0.0729,-0.2055,0.1430,937.530,data/processed/change/temporal/MH-002/delta_2024_2025_ndvi.tif,completed_historical_baseline
MH-002,Gadchiroli,2024,2025,NDWI,10417,-0.0087,-0.0112,0.0277,-0.0403,-0.0267,0.0052,0.0253,-0.0876,0.4166,937.530,data/processed/change/temporal/MH-002/delta_2024_2025_ndwi.tif,completed_historical_baseline
MH-002,Gadchiroli,2024,2025,NDBI,10417,-0.0257,-0.0266,0.0334,-0.0665,-0.0476,-0.0063,0.0150,-0.1511,0.1966,937.530,data/processed/change/temporal/MH-002/delta_2024_2025_ndbi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2021,2022,NDVI,1291,0.0394,0.0403,0.0399,-0.0078,0.0163,0.0644,0.0875,-0.1611,0.1962,116.190,data/processed/change/temporal/MH-003/delta_2021_2022_ndvi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2021,2022,NDWI,1291,-0.0215,-0.0215,0.0246,-0.0512,-0.0365,-0.0067,0.0076,-0.1154,0.1182,116.190,data/processed/change/temporal/MH-003/delta_2021_2022_ndwi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2021,2022,NDBI,1291,-0.0722,-0.0677,0.0444,-0.1321,-0.1001,-0.0446,-0.0216,-0.2026,0.1430,116.190,data/processed/change/temporal/MH-003/delta_2021_2022_ndbi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2022,2023,NDVI,1291,-0.0464,-0.0445,0.0472,-0.1072,-0.0788,-0.0127,0.0102,-0.2021,0.1924,116.190,data/processed/change/temporal/MH-003/delta_2022_2023_ndvi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2022,2023,NDWI,1291,0.0190,0.0186,0.0240,-0.0094,0.0044,0.0345,0.0491,-0.1139,0.0858,116.190,data/processed/change/temporal/MH-003/delta_2022_2023_ndwi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2022,2023,NDBI,1291,0.0408,0.0357,0.0460,-0.0118,0.0115,0.0668,0.1023,-0.1197,0.1830,116.190,data/processed/change/temporal/MH-003/delta_2022_2023_ndbi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2023,2024,NDVI,1291,0.0022,-0.0003,0.0418,-0.0500,-0.0267,0.0289,0.0595,-0.1526,0.1279,116.190,data/processed/change/temporal/MH-003/delta_2023_2024_ndvi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2023,2024,NDWI,1291,-0.0056,-0.0019,0.0271,-0.0442,-0.0202,0.0136,0.0253,-0.1110,0.0657,116.190,data/processed/change/temporal/MH-003/delta_2023_2024_ndwi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2023,2024,NDBI,1291,-0.0078,-0.0092,0.0333,-0.0493,-0.0307,0.0169,0.0374,-0.1170,0.0922,116.190,data/processed/change/temporal/MH-003/delta_2023_2024_ndbi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2024,2025,NDVI,1291,-0.0745,-0.0279,0.1305,-0.2725,-0.1724,0.0286,0.0636,-0.4477,0.1883,116.190,data/processed/change/temporal/MH-003/delta_2024_2025_ndvi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2024,2025,NDWI,1291,0.0443,0.0130,0.0853,-0.0504,-0.0250,0.1209,0.1656,-0.1306,0.2880,116.190,data/processed/change/temporal/MH-003/delta_2024_2025_ndwi.tif,completed_historical_baseline
MH-003,Bhivpuri PSP,2024,2025,NDBI,1291,0.0286,0.0076,0.0759,-0.0434,-0.0269,0.0694,0.1358,-0.1573,0.3355,116.190,data/processed/change/temporal/MH-003/delta_2024_2025_ndbi.tif,completed_historical_baseline
