project_id,project_name,relative_path,filename,extension,file_type,file_size_kb
MH-002,Gadchiroli,kml/990.265 ha ca land ovali.kml,990.265 ha ca land ovali.kml,.kml,KML,8.12
MH-002,Gadchiroli,kml/annexure-xii_(ca_land_ovali_990.265_ha).kml,annexure-xii_(ca_land_ovali_990.265_ha).kml,.kml,KML,10.35
MH-002,Gadchiroli,kml/annexure_i. diverted_mine_trans_road_1.kml,annexure_i. diverted_mine_trans_road_1.kml,.kml,KML,74.11
MH-002,Gadchiroli,kml/annexure_ix available_nf_land in vicinity_1.kml,annexure_ix available_nf_land in vicinity_1.kml,.kml,KML,174.33
MH-002,Gadchiroli,kml/annexure_xi_bound_bbp_plot_kml.kml,annexure_xi_bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/annexure_xii_4. r_ca land ovali  (990.265 ha).kml,annexure_xii_4. r_ca land ovali  (990.265 ha).kml,.kml,KML,8.34
MH-002,Gadchiroli,kml/annexure_xv_plu_bhq.kml,annexure_xv_plu_bhq.kml,.kml,KML,349.06
MH-002,Gadchiroli,kml/bound_bbp_plot_kml.kml,bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/boundary_f2_bhq.kml,boundary_f2_bhq.kml,.kml,KML,50.63
MH-002,Gadchiroli,kml/CA LAND KML OVALI (978.2864HA).kml,CA LAND KML OVALI (978.2864HA).kml,.kml,KML,20.16
MH-002,Gadchiroli,kml/ca land ovali  (990.265 ha).kml,ca land ovali  (990.265 ha).kml,.kml,KML,10.35
MH-002,Gadchiroli,kml/diverted area kml.kml,diverted area kml.kml,.kml,KML,73.49
MH-002,Gadchiroli,kml/kml_1. diverted_mine_trans_road_1.kml,kml_1. diverted_mine_trans_road_1.kml,.kml,KML,74.11
MH-002,Gadchiroli,kml/kml_2. available_nf_land in vicinity_1.kml,kml_2. available_nf_land in vicinity_1.kml,.kml,KML,174.33
MH-002,Gadchiroli,kml/kml_3. bound_bbp_plot_kml.kml,kml_3. bound_bbp_plot_kml.kml,.kml,KML,100.55
MH-002,Gadchiroli,kml/kml_4. r_ca land ovali  (990.265 ha).kml,kml_4. r_ca land ovali  (990.265 ha).kml,.kml,KML,8.34
MH-002,Gadchiroli,kml/kml_5_plu_bhq.kml,kml_5_plu_bhq.kml,.kml,KML,349.06
MH-002,Gadchiroli,kml/non-forest_land_details.kml,non-forest_land_details.kml,.kml,KML,174.07
MH-002,Gadchiroli,kml/OWALI-Chiplun-Ratnagiri.kml,OWALI-Chiplun-Ratnagiri.kml,.kml,KML,8.26
MH-002,Gadchiroli,kml/plu_bhq.kml,plu_bhq.kml,.kml,KML,349.06
MH-002,Gadchiroli,kml/PROPOSED FOREST LAND FOR DIVERSION (937.077HA).kml,PROPOSED FOREST LAND FOR DIVERSION (937.077HA).kml,.kml,KML,170.68
MH-002,Gadchiroli,kml/proposed land_forest.kml,proposed land_forest.kml,.kml,KML,65.60
MH-002,Gadchiroli,kml/r_ca land ovali  (990.265 ha).kml,r_ca land ovali  (990.265 ha).kml,.kml,KML,8.34
MH-003,Bhivpuri PSP,documents/20.15 ha-1.pdf,20.15 ha-1.pdf,.pdf,PDF,4723.78
MH-003,Bhivpuri PSP,documents/CA map.pdf_11zon.pdf,CA map.pdf_11zon.pdf,.pdf,PDF,933.26
MH-003,Bhivpuri PSP,documents/diversion order - 20.14 ha. (1).pdf,diversion order - 20.14 ha. (1).pdf,.pdf,PDF,368.87
MH-003,Bhivpuri PSP,documents/fc_ministry_stage_i_clearance174703400589912_FP_MH_HYD_IRRIG_447097_2023_14807299_-signed.pdf,fc_ministry_stage_i_clearance174703400589912_FP_MH_HYD_IRRIG_447097_2023_14807299_-signed.pdf,.pdf,PDF,245.78
MH-003,Bhivpuri PSP,documents/fc_ministry_stage_ii_clearance17622625603074_FP_MH_HYD_IRRIG_447097_2023_14807299_-signed.pdf,fc_ministry_stage_ii_clearance17622625603074_FP_MH_HYD_IRRIG_447097_2023_14807299_-signed.pdf,.pdf,PDF,244.21
MH-003,Bhivpuri PSP,documents/Google Earth Map.pdf,Google Earth Map.pdf,.pdf,PDF,10854.12
MH-003,Bhivpuri PSP,documents/Index Map on Toposheet.pdf,Index Map on Toposheet.pdf,.pdf,PDF,15697.82
MH-003,Bhivpuri PSP,documents/Map of the forest land proposed to be diverted prepared by using DGPS or Total Station.pdf,Map of the forest land proposed to be diverted prepared by using DGPS or Total Station.pdf,.pdf,PDF,3417.87
MH-003,Bhivpuri PSP,documents/monitoringmaps.pdf,monitoringmaps.pdf,.pdf,PDF,475.08
MH-003,Bhivpuri PSP,documents/Project Report-Bhivpuri-PSP.pdf,Project Report-Bhivpuri-PSP.pdf,.pdf,PDF,19248.29
MH-003,Bhivpuri PSP,documents/Proposed CA Land on TOPO.pdf,Proposed CA Land on TOPO.pdf,.pdf,PDF,7202.65
MH-003,Bhivpuri PSP,documents/Proposed Project on Village Map.pdf,Proposed Project on Village Map.pdf,.pdf,PDF,1756.44
MH-003,Bhivpuri PSP,"documents/Proximity Map (Distance Between Project location & WLS,ESZ.pdf","Proximity Map (Distance Between Project location & WLS,ESZ.pdf",.pdf,PDF,15358.23
MH-003,Bhivpuri PSP,documents/site inspection report.pdf,site inspection report.pdf,.pdf,PDF,4877.88
MH-003,Bhivpuri PSP,documents/summary on baseline situation.pdf,summary on baseline situation.pdf,.pdf,PDF,1935.69
MH-003,Bhivpuri PSP,documents/Topo.pdf_11zon.pdf,Topo.pdf_11zon.pdf,.pdf,PDF,601.74
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696507173302_Bhivpuri Off Stream Open Loop Pumped Storage Project (1800 MW).kml,6958645_FC_KML_1696507173302_Bhivpuri Off Stream Open Loop Pumped Storage Project (1800 MW).kml,.kml,KML,116.16
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696943975307_Shirota Range (1).kml,6958645_FC_KML_1696943975307_Shirota Range (1).kml,.kml,KML,92.81
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696943975307_Shirota Range.kml,6958645_FC_KML_1696943975307_Shirota Range.kml,.kml,KML,92.81
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1696944865560_Karjat East Range.kml,6958645_FC_KML_1696944865560_Karjat East Range.kml,.kml,KML,26.34
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1709635646148_Alibag Division.kml,6958645_FC_KML_1709635646148_Alibag Division.kml,.kml,KML,35.88
MH-003,Bhivpuri PSP,kml/6958645_FC_KML_1709636152974_Pune Division.kml,6958645_FC_KML_1709636152974_Pune Division.kml,.kml,KML,85.99
MH-003,Bhivpuri PSP,kml/77112832_FC_A_PART_B_KML_1718789872433_New CA Land 20.15 Ha-25.04.2024 kml.kml,77112832_FC_A_PART_B_KML_1718789872433_New CA Land 20.15 Ha-25.04.2024 kml.kml,.kml,KML,55.02
MH-003,Bhivpuri PSP,kml/Alt2.kml,Alt2.kml,.kml,KML,6.93
MH-003,Bhivpuri PSP,kml/Alt3.kml,Alt3.kml,.kml,KML,6.93
MH-003,Bhivpuri PSP,kml/Alt4.kml,Alt4.kml,.kml,KML,9.03
MH-003,Bhivpuri PSP,kml/Alt5.kml,Alt5.kml,.kml,KML,3.44
MH-003,Bhivpuri PSP,kml/Alt6.kml,Alt6.kml,.kml,KML,4.34
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-5.kml,Bhivpuri  Alternative-5.kml,.kml,KML,7.46
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-6.kml,Bhivpuri  Alternative-6.kml,.kml,KML,29.14
MH-003,Bhivpuri PSP,kml/Bhivpuri  Alternative-7.kml,Bhivpuri  Alternative-7.kml,.kml,KML,9.80
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt1.kml,Bhivpuri Alt1.kml,.kml,KML,9.32
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt2.kml,Bhivpuri Alt2.kml,.kml,KML,26.12
MH-003,Bhivpuri PSP,kml/Bhivpuri Alt3.kml,Bhivpuri Alt3.kml,.kml,KML,13.42
MH-003,Bhivpuri PSP,kml/Bhivpuri Off Stream Open Loop Pumped Storage Project (1000 MW).kml,Bhivpuri Off Stream Open Loop Pumped Storage Project (1000 MW).kml,.kml,KML,119.59
MH-003,Bhivpuri PSP,kml/BhivpuriPSP.kml,BhivpuriPSP.kml,.kml,KML,4.34
MH-003,Bhivpuri PSP,kml/Final Bhivpuri-PSP.kml,Final Bhivpuri-PSP.kml,.kml,KML,123.58
MH-003,Bhivpuri PSP,kml/Proposed CA Land.kml,Proposed CA Land.kml,.kml,KML,2.19
