project_id,project_name,year,dataset,requested_start_date,requested_end_date,monitoring_window,actual_available_start_date,actual_available_end_date,selected_observation_start_date,selected_observation_end_date,images_available,images_after_cloud_filter,images_used,cloud_threshold,composite_method,bands,boundary_file,processing_status,missing_period
MH-002,Gadchiroli,2024,Dynamic World V1 (reference_baseline),2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-03,2024-12-28,2024-01-03,2024-12-28,30,30,30,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2025,Dynamic World V1 (reference_baseline),2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-02,2025-12-28,2025-01-02,2025-12-28,41,41,41,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2026,Dynamic World V1 (reference_baseline),2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-02,2026-05-27,2026-01-02,2026-05-19,32,32,32,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/gadchiroli_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
MH-002,Gadchiroli,2021,Sentinel-2 SR Harmonized,2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-03,2021-12-29,2021-01-03,2021-12-24,40,27,27,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2022,Sentinel-2 SR Harmonized,2022-01-01,2022-12-31,Jan-May & Nov-Dec (Dry Season),2022-01-03,2022-12-29,2022-01-08,2022-12-29,43,34,34,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2023,Sentinel-2 SR Harmonized,2023-01-01,2023-12-31,Jan-May & Nov-Dec (Dry Season),2023-01-03,2023-12-29,2023-01-08,2023-12-24,42,27,27,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2024,Sentinel-2 SR Harmonized,2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-03,2024-12-28,2024-01-03,2024-12-28,43,29,29,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2025,Sentinel-2 SR Harmonized,2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-02,2025-12-28,2025-01-02,2025-12-28,49,36,36,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,completed,None
MH-002,Gadchiroli,2026,Sentinel-2 SR Harmonized,2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-02,2026-05-27,2026-01-02,2026-05-19,36,31,31,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/gadchiroli_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
MH-003,Bhivpuri PSP,2021,Dynamic World V1 (reference_baseline),2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-02,2021-12-30,2021-01-02,2021-12-30,130,130,130,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2022,Dynamic World V1 (reference_baseline),2022-01-01,2022-12-31,Jan-May & Nov-Dec (Dry Season),2022-01-09,2022-12-30,2022-01-09,2022-12-30,140,140,140,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2023,Dynamic World V1 (reference_baseline),2023-01-01,2023-12-31,Jan-May & Nov-Dec (Dry Season),2023-01-04,2023-12-30,2023-01-04,2023-12-30,127,127,127,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2024,Dynamic World V1 (reference_baseline),2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-04,2024-12-29,2024-01-04,2024-12-29,135,135,135,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2025,Dynamic World V1 (reference_baseline),2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-03,2025-12-29,2025-01-03,2025-12-29,132,132,132,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2026,Dynamic World V1 (reference_baseline),2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-03,2026-05-31,2026-01-03,2026-05-28,122,122,122,N/A,Seasonal Mode Composite,label,data/processed/project_boundaries/bhivpuri_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
MH-003,Bhivpuri PSP,2021,Sentinel-2 SR Harmonized,2021-01-01,2021-12-31,Jan-May & Nov-Dec (Dry Season),2021-01-02,2021-12-30,2021-01-02,2021-12-30,109,78,78,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2022,Sentinel-2 SR Harmonized,2022-01-01,2022-12-31,Jan-May & Nov-Dec (Dry Season),2022-01-09,2022-12-30,2022-01-09,2022-12-30,100,74,74,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2023,Sentinel-2 SR Harmonized,2023-01-01,2023-12-31,Jan-May & Nov-Dec (Dry Season),2023-01-04,2023-12-30,2023-01-04,2023-12-30,104,76,76,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2024,Sentinel-2 SR Harmonized,2024-01-01,2024-12-31,Jan-May & Nov-Dec (Dry Season),2024-01-04,2024-12-29,2024-01-04,2024-12-29,104,77,77,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2025,Sentinel-2 SR Harmonized,2025-01-01,2025-12-31,Jan-May & Nov-Dec (Dry Season),2025-01-03,2025-12-29,2025-01-03,2025-12-29,108,78,78,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,completed,None
MH-003,Bhivpuri PSP,2026,Sentinel-2 SR Harmonized,2026-01-01,2026-12-31,Jan-May & Nov-Dec (Dry Season),2026-01-03,2026-05-31,2026-01-03,2026-05-28,104,84,84,20% scene-filter + SCL pixel-mask,Seasonal Median Composite (SCL Cloud/Shadow Masked),"B2,B3,B4,B8,B11,B12",data/processed/project_boundaries/bhivpuri_boundary.geojson,partial_current_year,2026-11-01 to 2026-12-31 (future_monitoring_period)
