experiment,held_out_project,norm_fitted_on,n_train_samples,d_means,d_stds
A,MH-001,"['MH-002', 'MH-003']",6829,"[-0.00016897871682886034, -0.0012368785683065653, -0.0002360839571338147, -0.001428884919732809, -0.0034858763683587313, -0.00238869059830904]","[0.0072896662168204784, 0.008970674127340317, 0.01444466132670641, 0.016067277640104294, 0.026791464537382126, 0.024339662864804268]"
B,MH-002,"['MH-001', 'MH-003']",2917,"[0.0011076366063207388, 0.0014256773283705115, 0.00270683947019279, 0.00340897124260664, 0.0022967488039284945, 0.0023670669179409742]","[0.007929752580821514, 0.009755183011293411, 0.016195565462112427, 0.019103189930319786, 0.024499811232089996, 0.020683277398347855]"
C,MH-003,"['MH-001', 'MH-002']",8023,"[-6.996894808253273e-05, -0.0008815560140646994, -0.0001432488061254844, 0.00018931907834485173, -0.001956675434485078, -0.0014548986218869686]","[0.007313011214137077, 0.0088120736181736, 0.013907541520893574, 0.016903139650821686, 0.024729302152991295, 0.022369686514139175]"
