experiment,held_out_project,Mean_AP,CI_Lower,CI_Upper,N_boot
A,MH-001,0.25526385542769414,0.14660055411808684,0.3446128409248996,500
B,MH-002,0.27043517411091283,0.19337769827608603,0.3565376351759204,500
C,MH-003,0.36450395288845766,0.052534339773560826,0.6040662947225038,480
