experiment,epoch,train_loss,val_pr_auc
A,1,0.9871334485837316,0.4505492025708614
A,2,0.8672069366129412,0.47064250578778943
A,3,0.8067857842657293,0.49346721631458834
A,4,0.7383674482839107,0.4772577276674196
A,5,0.6746555596027075,0.5056749495159095
A,6,0.622506292542037,0.4895181025594464
A,7,0.5830562318081841,0.4771429974501772
A,8,0.5768829100144907,0.4497958966675314
A,9,0.5279498009507837,0.44245353203889404
A,10,0.46541453083396955,0.3590700390130317
A,11,0.4438141696204167,0.44454629378428434
B,1,0.9172100760898322,0.07977703950757786
B,2,0.7726314474084952,0.06996792958510188
B,3,0.68728071698433,0.053608773501273445
B,4,0.6329439882754789,0.13574469011807544
B,5,0.6028978539261052,0.053896499248318075
B,6,0.5574374747400951,0.05098223938234994
B,7,0.5330097112379378,0.05664073788174978
B,8,0.45955041511687345,0.06069796458129307
B,9,0.43297217106641384,0.06238615037996846
B,10,0.40188293756178317,0.06810998465103513
C,1,1.0813905800219472,0.39072839012128274
C,2,0.9552367731072607,0.39637869271333753
C,3,0.8594980075830951,0.436926511633773
C,4,0.8037168927343056,0.41209065802271294
C,5,0.743133256920671,0.4046945520803736
C,6,0.6957023753707403,0.4744873973612612
C,7,0.6517174197197199,0.42835710763075
C,8,0.6042101333804905,0.44335602569321975
C,9,0.5684159784472733,0.4343046009529554
C,10,0.519632450065217,0.44083913003526715
C,11,0.48759185852002107,0.4466369827298395
C,12,0.44233719953482664,0.463763818327298
