experiment,held_out_project,temporal_sample_id,target,cnn_score,error_type
B,MH-002,MH-002_19.604518_80.366654,0,0.04355592280626297,TN
B,MH-002,MH-002_19.604518_80.366923,0,0.043153416365385056,TN
B,MH-002,MH-002_19.604518_80.367193,0,0.031173057854175568,TN
B,MH-002,MH-002_19.604518_80.367462,0,0.026592032983899117,TN
B,MH-002,MH-002_19.604518_80.367732,0,0.02141941897571087,TN
B,MH-002,MH-002_19.604518_80.368001,0,0.0172751285135746,TN
B,MH-002,MH-002_19.604518_80.368271,0,0.012428121641278267,TN
B,MH-002,MH-002_19.604518_80.36854,0,0.014120515435934067,TN
B,MH-002,MH-002_19.604518_80.36881,0,0.01281384751200676,TN
B,MH-002,MH-002_19.604518_80.369079,0,0.01179275382310152,TN
B,MH-002,MH-002_19.604518_80.369349,0,0.010554303415119648,TN
B,MH-002,MH-002_19.604518_80.369618,0,0.010172677226364613,TN
B,MH-002,MH-002_19.604518_80.369888,1,0.012151747941970825,FN
B,MH-002,MH-002_19.604249_80.363959,0,0.5702897310256958,FP
B,MH-002,MH-002_19.604249_80.364229,0,0.4771304428577423,FP
B,MH-002,MH-002_19.604249_80.364498,0,0.37154659628868103,FP
B,MH-002,MH-002_19.604249_80.365037,0,0.3035077750682831,FP
B,MH-002,MH-002_19.604249_80.365307,0,0.19280140101909637,TN
B,MH-002,MH-002_19.604249_80.365576,0,0.15599793195724487,TN
B,MH-002,MH-002_19.604249_80.365846,0,0.10990846902132034,TN
B,MH-002,MH-002_19.604249_80.366115,0,0.09486284852027893,TN
B,MH-002,MH-002_19.604249_80.366385,0,0.06240515038371086,TN
B,MH-002,MH-002_19.604249_80.367462,0,0.033813536167144775,TN
B,MH-002,MH-002_19.604249_80.367732,0,0.03072980046272278,TN
B,MH-002,MH-002_19.604249_80.368001,0,0.027545474469661713,TN
B,MH-002,MH-002_19.604249_80.368271,0,0.022523006424307823,TN
B,MH-002,MH-002_19.604249_80.36854,0,0.02039831317961216,TN
B,MH-002,MH-002_19.604249_80.36881,0,0.021981315687298775,TN
B,MH-002,MH-002_19.604249_80.369079,0,0.021361714228987694,TN
B,MH-002,MH-002_19.604249_80.369349,0,0.01730540581047535,TN
B,MH-002,MH-002_19.604249_80.369618,0,0.015051604248583317,TN
B,MH-002,MH-002_19.604249_80.369888,0,0.01530622597783804,TN
B,MH-002,MH-002_19.603979_80.363959,0,0.7796114087104797,FP
B,MH-002,MH-002_19.603979_80.364229,0,0.5897064208984375,FP
B,MH-002,MH-002_19.603979_80.364768,0,0.28106164932250977,FP
B,MH-002,MH-002_19.603979_80.365037,0,0.30677661299705505,FP
B,MH-002,MH-002_19.603979_80.365307,1,0.19580048322677612,FN
B,MH-002,MH-002_19.603979_80.365576,1,0.17653661966323853,FN
B,MH-002,MH-002_19.603979_80.365846,0,0.12444722652435303,TN
B,MH-002,MH-002_19.603979_80.366115,0,0.11163818091154099,TN
B,MH-002,MH-002_19.603979_80.366385,0,0.0732865035533905,TN
B,MH-002,MH-002_19.603979_80.366654,0,0.07418189197778702,TN
B,MH-002,MH-002_19.603979_80.366923,0,0.05294951796531677,TN
B,MH-002,MH-002_19.603979_80.367193,0,0.04478762298822403,TN
B,MH-002,MH-002_19.603979_80.368001,0,0.031196625903248787,TN
B,MH-002,MH-002_19.603979_80.368271,0,0.02833426557481289,TN
B,MH-002,MH-002_19.603979_80.36854,0,0.03133418411016464,TN
B,MH-002,MH-002_19.603979_80.36881,0,0.030406910926103592,TN
B,MH-002,MH-002_19.603979_80.369079,0,0.027569573372602463,TN
B,MH-002,MH-002_19.603979_80.369349,0,0.02348702773451805,TN
B,MH-002,MH-002_19.603979_80.369618,0,0.022635629400610924,TN
B,MH-002,MH-002_19.603979_80.369888,0,0.02162327989935875,TN
B,MH-002,MH-002_19.60371_80.363959,0,0.8677036166191101,FP
B,MH-002,MH-002_19.60371_80.364229,0,0.6882261037826538,FP
B,MH-002,MH-002_19.60371_80.364768,0,0.3180418312549591,FP
B,MH-002,MH-002_19.60371_80.365037,0,0.3100038468837738,FP
B,MH-002,MH-002_19.60371_80.365307,0,0.15095126628875732,TN
B,MH-002,MH-002_19.60371_80.365576,1,0.12601518630981445,FN
B,MH-002,MH-002_19.60371_80.365846,0,0.09527946263551712,TN
B,MH-002,MH-002_19.60371_80.366115,0,0.10026748478412628,TN
B,MH-002,MH-002_19.60371_80.366385,0,0.06804563105106354,TN
B,MH-002,MH-002_19.60371_80.366654,0,0.05615866184234619,TN
B,MH-002,MH-002_19.60371_80.366923,0,0.048971302807331085,TN
B,MH-002,MH-002_19.60371_80.367193,0,0.043474484235048294,TN
B,MH-002,MH-002_19.60371_80.368271,0,0.03169785067439079,TN
B,MH-002,MH-002_19.60371_80.36854,0,0.035052862018346786,TN
B,MH-002,MH-002_19.60371_80.36881,0,0.03342152759432793,TN
B,MH-002,MH-002_19.60371_80.369079,0,0.030997958034276962,TN
B,MH-002,MH-002_19.60371_80.369349,0,0.02724226750433445,TN
B,MH-002,MH-002_19.60371_80.369618,0,0.02853313460946083,TN
B,MH-002,MH-002_19.60371_80.369888,0,0.02437620423734188,TN
B,MH-002,MH-002_19.60344_80.363959,0,0.9202083945274353,FP
B,MH-002,MH-002_19.60344_80.364229,0,0.741769552230835,FP
B,MH-002,MH-002_19.60344_80.364768,0,0.22473090887069702,TN
B,MH-002,MH-002_19.60344_80.365037,0,0.23656617105007172,TN
B,MH-002,MH-002_19.60344_80.365307,0,0.0998273491859436,TN
B,MH-002,MH-002_19.60344_80.365576,0,0.07590620964765549,TN
B,MH-002,MH-002_19.60344_80.367732,0,0.032812055200338364,TN
B,MH-002,MH-002_19.60344_80.368001,0,0.03428637608885765,TN
B,MH-002,MH-002_19.60344_80.368271,0,0.028397316113114357,TN
B,MH-002,MH-002_19.60344_80.36854,0,0.03369377180933952,TN
B,MH-002,MH-002_19.60344_80.36881,0,0.03338145464658737,TN
B,MH-002,MH-002_19.60344_80.369079,0,0.03508801385760307,TN
B,MH-002,MH-002_19.60344_80.369349,0,0.03203512355685234,TN
B,MH-002,MH-002_19.60344_80.369618,0,0.0343967042863369,TN
B,MH-002,MH-002_19.60344_80.369888,0,0.029352301731705666,TN
B,MH-002,MH-002_19.603171_80.364768,0,0.22171445190906525,TN
B,MH-002,MH-002_19.603171_80.365037,0,0.2156917154788971,TN
B,MH-002,MH-002_19.603171_80.365307,0,0.10258891433477402,TN
B,MH-002,MH-002_19.603171_80.365846,0,0.03708712384104729,TN
B,MH-002,MH-002_19.603171_80.366115,1,0.03779372572898865,FN
B,MH-002,MH-002_19.603171_80.366385,0,0.026694653555750847,TN
B,MH-002,MH-002_19.603171_80.366654,0,0.024830017238855362,TN
B,MH-002,MH-002_19.603171_80.366923,0,0.022490013390779495,TN
B,MH-002,MH-002_19.603171_80.367193,0,0.023915044963359833,TN
B,MH-002,MH-002_19.603171_80.367462,0,0.02470703423023224,TN
B,MH-002,MH-002_19.603171_80.367732,0,0.029700886458158493,TN
B,MH-002,MH-002_19.603171_80.368001,0,0.029192212969064713,TN
B,MH-002,MH-002_19.603171_80.368271,0,0.02535390853881836,TN
B,MH-002,MH-002_19.603171_80.36854,0,0.02867918461561203,TN
B,MH-002,MH-002_19.603171_80.36881,0,0.030339252203702927,TN
B,MH-002,MH-002_19.603171_80.369618,0,0.03825097158551216,TN
B,MH-002,MH-002_19.603171_80.369888,0,0.03800413757562637,TN
